Invertirani svet|Inverted World|Kristofer Prist|Christopher Priest|1974|1985||Boban Knežević, Aleksandar B. Nedeljković||
Antologija savremene francuske fantastike 1 (zbirka priča)||Ksenija Jovanović (priredila)||-|1985|francuske|Ksenija Jovanović||
Vavilon 17|Babel-17|Semjuel Dilejni|Samuel Delany|1966|1986|vavilon17|Aleksandar B. Nedeljković||
Ajnštajnovski presek|The Einstein Intersection|Semjuel Dilejni|Samuel Delany|1967|1986||Aleksandar B. Nedeljković||
On koji oblikuje|The Dream Master|Rodžer Zelazni|Roger Zelazny|1966|1986||Aleksandar B Nedeljković||
Umiranje iznutra|Dying Inside|Robert Silverberg|Robert Silverberg|1972|1987||Regina Vasiljević||
Stvorenja svetlosti i tame|Creatures of Light and Darkness|Rodžer Zelazni|Roger Zelazny|1969|1987||Predrag Vuković||
Zovem se Konrad|This Immortal (...And Call Me Conrad)|Rodžer Zelazni|Roger Zelazny|1965|1988||Predrag Raos||
Ostrvo mrtvih|Isle of the Dead|Rodžer Zelazni|Roger Zelazny|1969|1988||Aleksandar B Nedeljković||
Devet prinčeva Ambera|Nine Princes of Amber|Rodžer Zelazni|Roger Zelazny|1970|1988||Nataša Djukić|Amber 1|Amber, The Corwin cycle 1
Prolaz u pesku|Doorways in the Sand|Rodžer Zelazni|Roger Zelazny|1976|1989||Aleksandar B Nedeljković||
Tecite suze moje, reče policajac|Flow My Tears, the Policeman Said|Filip K. Dik|Philip K. Dick|1974|1988|suze|Aleksandar B Nedeljković||
Vremenski pejzaž|Timescape|Gregori Benford|Gregory Benford|1980|1988||Aleksandar B. Nedeljković||
Tamni vilajet 1, izbor jugoslovenskog SF-a (zbirka domaćih priča)||Boban Knežević (urednik)||-|1988|tamnivilajet1|||
Zlatna knjiga||Dragan Filipović||1988|1988||||
Horor (zbirka priča)||H. P. Lavkraft, Stiven King, Klajv Barker|H. P. Lovecraft, Stephen King, Clive Barker|-|1990|horor|Aleksandar Nedeljković, Goran Skrobonja, Boban Knežević||
Let zmajeva|Dragonflight|En Mekefri|Anne McCaffrey|1968|1989|letzmajeva|Linda Tasovac||
Knjiga lobanja|The Book of Skulls|Robert Silverberg|Robert Silverberg|1972|1990||Zoran Jakšić||
Ostrva u mreži|Islands in the Net|Brus Sterling|Bruce Sterling|1988|1996||Aleksandar B. Nedeljković||
Nešto nam se zlo privlači|Something Wicked this Way Comes|Rej Bredberi|Ray Bradbury|1962|1990||Zoran Jakšić||
Puške Avalona / Znamenje jednoroga|The Guns of Avalon / Sign of the Unicorn|Rodžer Zelazni|Roger Zelazny|1972 / 1975|1990|puskeznamenje|Nataša Djukić|Amber 2 / 3|Amber, The Corwin cycle 2 / 3
Tri stigmate Palmera Eldriča|The Three Stigmata of Palmer Eldritch|Filip K. Dik|Philip K. Dick|1965|1992||Marko Fančović||
Pomaljanje|Emergence|Dejvid Palmer|David Palmer|1984|1993||-?-||
Knjiga krvi 1 (zbirka priča)|Books of Blood Volume 1|Klajv Barker|Clive Barker|1984-1985|1991|kk1|Aleksandar B Nedeljković|Knjige krvi 1|Books of Blood
Knjiga krvi 2 (zbirka priča)|Books of Blood Volume 2|Klajv Barker|Clive Barker|1984-1985|1991|kk2|Aleksandra Petković, Aleksandar Marković|Knjige krvi 2|Books of Blood
Knjiga krvi 3 (zbirka priča)|Books of Blood Volume 3|Klajv Barker|Clive Barker|1984-1985|1991|kk3|Aleksandra Petković, Aleksandar Marković|Knjige krvi 3|Books of Blood
Bleda mesečeva svetlost||Mile Janković - Beli||1992|1992|||||
Oberonova ruka / Predvorje haosa|The Hand of Oberon / The Courts of Chaos|Rodžer Zelazni|Roger Zelazny|1976 / 1978|1992|oberon|Nataša Djukić|Amber 4 / 5|Amber, The Corwin cycle 4 / 5
Nikadorski hodočasnik (zbirka priča)||Zoran Jakšić||-|1992|nikadorski|||
Tamni vilajet 2, izbor jugoslovenskog SF-a (zbirka domaćih priča)||Boban Knežević (urednik)||-|1992|tamnivilajet2|||
Nakot||Goran Skrobonja||1994|1994||||
Tamni vilajet 3, izbor jugoslovenskog SF-a (zbirka domaćih priča)||Boban Knežević (urednik)||-|1993|tamnivilajet3|||
Isusova greška||Djordje Mijušković||1994|1994||||
Knjiga krvi 4 (zbirka priča)|Books of Blood Volume 4|Klajv Barker|Clive Barker|1984-1985|1994|kk4|Goran Skrobonja|Knjige krvi 4|Books of Blood
Knjiga krvi 5 (zbirka priča)|Books of Blood Volume 5|Klajv Barker|Clive Barker|1984-1985|1994|kk5|Goran Skrobonja|Knjige krvi 5|Books of Blood
Knjiga krvi 6 (zbirka priča)|Books of Blood Volume 6|Klajv Barker|Clive Barker|1984-1985|1994|kk6|Goran Skrobonja|Knjige krvi 6|Books of Blood
Slovenski Orfej i druge drame (zbirka drama)||Zoran Stefanović||-|1995|slovenskiorfej||||
Prenatalni život||Ilija Bakić||1997|1997||||
Rat bolji od seksa||Djordje Mijušković||1996|1996||||
Tamni vilajet 4, izbor jugoslovenskog SF-a (zbirka domaćih priča)||Boban Knežević (urednik)||-|1996|tamnivilajet4|||
Noć u samotnom oktobru|A Night in the Lonesome October|Rodžer Zelazni|Roger Zelazny|1993|1997||-?-||
Histerični sneg|Snow Crash|Nil Stivenson|Neal Stephenson|1992|1999||-?-||
Aduti propasti|Trumps of Doom|Rodžer Zelazni|Roger Zelazny|1985|1995||-?-|Amber 6|Amber, The Merlin Cycle 1
Noći Morloka|Morlock Night|Kevin Džeter|Kevin Jeter|1979|1997||-?-||
Kamikaze l’amour|Kamikaze L’amour|Ričard Kedri|Richard Kadrey|1995|1997|kamikaze|-?-||



